nWifi	dataRate	throughput
1	100Mbps	4.12877
1	200Mbps	4.14515
1	300Mbps	4.18611
1	400Mbps	4.12058
1	500Mbps	4.15334
1	600Mbps	4.08781
1	700Mbps	4.13696
1	800Mbps	4.14515
2	100Mbps	4.36634
2	200Mbps	4.2025
2	300Mbps	4.34176
2	400Mbps	4.1943
2	500Mbps	4.3008
2	600Mbps	4.37453
2	700Mbps	4.27622
2	800Mbps	4.34995
3	100Mbps	4.42368
3	200Mbps	4.53837
3	300Mbps	4.48922
3	400Mbps	4.51379
3	500Mbps	4.46464
3	600Mbps	4.46464
3	700Mbps	4.35814
3	800Mbps	4.36634
4	100Mbps	4.34176
4	200Mbps	4.55475
4	300Mbps	4.49741
4	400Mbps	4.51379
4	500Mbps	4.45645
4	600Mbps	4.46464
4	700Mbps	4.52198
4	800Mbps	4.45645
5	100Mbps	4.48102
5	200Mbps	4.48102
5	300Mbps	4.39091
5	400Mbps	4.44826
5	500Mbps	4.49741
5	600Mbps	4.62848
5	700Mbps	4.56294
5	800Mbps	4.44006
6	100Mbps	4.41549
6	200Mbps	4.49741
6	300Mbps	4.55475
6	400Mbps	4.42368
6	500Mbps	4.37453
6	600Mbps	4.53018
6	700Mbps	4.52198
6	800Mbps	4.45645
7	100Mbps	4.44826
7	200Mbps	4.47283
7	300Mbps	4.46464
7	400Mbps	4.53837
7	500Mbps	4.48102
7	600Mbps	4.33357
7	700Mbps	4.51379
7	800Mbps	4.47283
8	100Mbps	4.51379
8	200Mbps	4.3991
8	300Mbps	4.38272
8	400Mbps	4.4073
8	500Mbps	4.44826
8	600Mbps	4.47283
8	700Mbps	4.46464
8	800Mbps	4.45645
9	100Mbps	4.42368
9	200Mbps	4.33357
9	300Mbps	4.45645
9	400Mbps	4.52198
9	500Mbps	4.45645
9	600Mbps	4.34176
9	700Mbps	4.25984
9	800Mbps	4.3991
10	100Mbps	4.4073
10	200Mbps	4.48922
10	300Mbps	4.49741
10	400Mbps	4.45645
10	500Mbps	4.44006
10	600Mbps	4.36634
10	700Mbps	4.35814
10	800Mbps	4.34176
11	100Mbps	4.38272
11	200Mbps	4.34176
11	300Mbps	4.36634
11	400Mbps	4.41549
11	500Mbps	4.46464
11	600Mbps	4.34176
11	700Mbps	4.34995
11	800Mbps	4.43187
12	100Mbps	4.3008
12	200Mbps	4.3008
12	300Mbps	4.31718
12	400Mbps	4.32538
12	500Mbps	4.3008
12	600Mbps	4.34995
12	700Mbps	4.4073
12	800Mbps	4.34176
13	100Mbps	4.38272
13	200Mbps	4.37453
13	300Mbps	4.44826
13	400Mbps	4.28442
13	500Mbps	4.34176
13	600Mbps	4.41549
13	700Mbps	4.39091
13	800Mbps	4.35814
14	100Mbps	4.32538
14	200Mbps	4.27622
14	300Mbps	4.25984
14	400Mbps	4.34995
14	500Mbps	4.43187
14	600Mbps	4.27622
14	700Mbps	4.27622
14	800Mbps	4.28442
15	100Mbps	4.30899
15	200Mbps	4.34995
15	300Mbps	4.21888
15	400Mbps	4.2025
15	500Mbps	4.32538
15	600Mbps	4.3008
15	700Mbps	4.21069
15	800Mbps	4.22707
