nWifi	phyRate	throughput
1	DsssRate11Mbps	4.12877
1	DsssRate5_5Mbps	2.87539
1	DsssRate2Mbps	1.40083
1	DsssRate1Mbps	0.753664
2	DsssRate11Mbps	4.25984
2	DsssRate5_5Mbps	2.89178
2	DsssRate2Mbps	1.39264
2	DsssRate1Mbps	0.745472
3	DsssRate11Mbps	4.37453
3	DsssRate5_5Mbps	3.03104
3	DsssRate2Mbps	1.39264
3	DsssRate1Mbps	0.73728
4	DsssRate11Mbps	4.48922
4	DsssRate5_5Mbps	3.00646
4	DsssRate2Mbps	1.36806
4	DsssRate1Mbps	0.729088
5	DsssRate11Mbps	4.48922
5	DsssRate5_5Mbps	3.00646
5	DsssRate2Mbps	1.37626
5	DsssRate1Mbps	0.745472
6	DsssRate11Mbps	4.44006
6	DsssRate5_5Mbps	2.98189
6	DsssRate2Mbps	1.35987
6	DsssRate1Mbps	0.745472
7	DsssRate11Mbps	4.41549
7	DsssRate5_5Mbps	2.99008
7	DsssRate2Mbps	1.36806
7	DsssRate1Mbps	0.73728
8	DsssRate11Mbps	4.5056
8	DsssRate5_5Mbps	3.00646
8	DsssRate2Mbps	1.3353
8	DsssRate1Mbps	0.704512
9	DsssRate11Mbps	4.25984
9	DsssRate5_5Mbps	2.94912
9	DsssRate2Mbps	1.35168
9	DsssRate1Mbps	0.704512
10	DsssRate11Mbps	4.35814
10	DsssRate5_5Mbps	2.94912
10	DsssRate2Mbps	1.3271
10	DsssRate1Mbps	0.712704
11	DsssRate11Mbps	4.37453
11	DsssRate5_5Mbps	2.85082
11	DsssRate2Mbps	1.3271
11	DsssRate1Mbps	0.671744
12	DsssRate11Mbps	4.41549
12	DsssRate5_5Mbps	2.88358
12	DsssRate2Mbps	1.30253
12	DsssRate1Mbps	0.671744
13	DsssRate11Mbps	4.36634
13	DsssRate5_5Mbps	2.85082
13	DsssRate2Mbps	1.31072
13	DsssRate1Mbps	0.679936
14	DsssRate11Mbps	4.28442
14	DsssRate5_5Mbps	2.85901
14	DsssRate2Mbps	1.26157
14	DsssRate1Mbps	0.679936
15	DsssRate11Mbps	4.21888
15	DsssRate5_5Mbps	2.7689
15	DsssRate2Mbps	1.28614
15	DsssRate1Mbps	0.65536
16	DsssRate11Mbps	4.27622
16	DsssRate5_5Mbps	2.80166
16	DsssRate2Mbps	1.26157
16	DsssRate1Mbps	0.671744
17	DsssRate11Mbps	4.21069
17	DsssRate5_5Mbps	2.80986
17	DsssRate2Mbps	1.25338
17	DsssRate1Mbps	0.663552
18	DsssRate11Mbps	4.16973
18	DsssRate5_5Mbps	2.7689
18	DsssRate2Mbps	1.24518
18	DsssRate1Mbps	0.6144
19	DsssRate11Mbps	4.08781
19	DsssRate5_5Mbps	2.7689
19	DsssRate2Mbps	1.22061
19	DsssRate1Mbps	0.606208
20	DsssRate11Mbps	4.03866
20	DsssRate5_5Mbps	2.64602
20	DsssRate2Mbps	1.20422
20	DsssRate1Mbps	0.598016
21	DsssRate11Mbps	4.096
21	DsssRate5_5Mbps	2.71155
21	DsssRate2Mbps	1.23699
21	DsssRate1Mbps	0.630784
22	DsssRate11Mbps	4.11238
22	DsssRate5_5Mbps	2.69517
22	DsssRate2Mbps	1.20422
22	DsssRate1Mbps	0.6144
23	DsssRate11Mbps	3.9977
23	DsssRate5_5Mbps	2.64602
23	DsssRate2Mbps	1.17965
23	DsssRate1Mbps	0.589824
24	DsssRate11Mbps	4.03046
24	DsssRate5_5Mbps	2.63782
24	DsssRate2Mbps	1.20422
24	DsssRate1Mbps	0.606208
25	DsssRate11Mbps	3.96493
25	DsssRate5_5Mbps	2.62144
25	DsssRate2Mbps	1.19603
25	DsssRate1Mbps	0.598016
26	DsssRate11Mbps	4.02227
26	DsssRate5_5Mbps	2.60506
26	DsssRate2Mbps	1.13869
26	DsssRate1Mbps	0.581632
27	DsssRate11Mbps	3.9895
27	DsssRate5_5Mbps	2.5641
27	DsssRate2Mbps	1.1305
27	DsssRate1Mbps	0.557056
28	DsssRate11Mbps	3.94035
28	DsssRate5_5Mbps	2.60506
28	DsssRate2Mbps	1.13869
28	DsssRate1Mbps	0.565248
29	DsssRate11Mbps	3.80928
29	DsssRate5_5Mbps	2.53952
29	DsssRate2Mbps	1.16326
29	DsssRate1Mbps	0.565248
30	DsssRate11Mbps	3.98131
30	DsssRate5_5Mbps	2.68698
30	DsssRate2Mbps	1.14688
30	DsssRate1Mbps	0.57344
31	DsssRate11Mbps	3.87482
31	DsssRate5_5Mbps	2.61325
