nWifi	tcpVariant	throughput
1	TcpTahoe	4.12877
1	TcpReno	4.14515
1	TcpNewReno	4.18611
1	TcpWestwood	4.12058
1	TcpWestwoodPlus	4.15334
2	TcpTahoe	4.37453
2	TcpReno	4.32538
2	TcpNewReno	4.37453
2	TcpWestwood	4.18611
2	TcpWestwoodPlus	4.37453
3	TcpTahoe	4.45645
3	TcpReno	4.51379
3	TcpNewReno	4.55475
3	TcpWestwood	4.36634
3	TcpWestwoodPlus	4.47283
4	TcpTahoe	4.45645
4	TcpReno	4.43187
4	TcpNewReno	4.55475
4	TcpWestwood	4.53837
4	TcpWestwoodPlus	4.54656
5	TcpTahoe	4.55475
5	TcpReno	4.48102
5	TcpNewReno	4.45645
5	TcpWestwood	4.57933
5	TcpWestwoodPlus	4.44826
6	TcpTahoe	4.47283
6	TcpReno	4.41549
6	TcpNewReno	4.42368
6	TcpWestwood	4.42368
6	TcpWestwoodPlus	4.53018
7	TcpTahoe	4.44826
7	TcpReno	4.55475
7	TcpNewReno	4.44006
7	TcpWestwood	4.5056
7	TcpWestwoodPlus	4.39091
8	TcpTahoe	4.44826
8	TcpReno	4.44006
8	TcpNewReno	4.32538
8	TcpWestwood	4.48102
8	TcpWestwoodPlus	4.44006
9	TcpTahoe	4.44006
9	TcpReno	4.36634
9	TcpNewReno	4.35814
9	TcpWestwood	4.4073
9	TcpWestwoodPlus	4.35814
10	TcpTahoe	4.45645
10	TcpReno	4.44826
10	TcpNewReno	4.33357
10	TcpWestwood	4.32538
10	TcpWestwoodPlus	4.41549
11	TcpTahoe	4.34995
11	TcpReno	4.38272
11	TcpNewReno	4.31718
11	TcpWestwood	4.38272
11	TcpWestwoodPlus	4.35814
12	TcpTahoe	4.31718
12	TcpReno	4.42368
12	TcpNewReno	4.34176
12	TcpWestwood	4.29261
12	TcpWestwoodPlus	4.4073
13	TcpTahoe	4.28442
13	TcpReno	4.41549
13	TcpNewReno	4.42368
13	TcpWestwood	4.35814
13	TcpWestwoodPlus	4.37453
14	TcpTahoe	4.2025
14	TcpReno	4.29261
14	TcpNewReno	4.35814
14	TcpWestwood	4.28442
14	TcpWestwoodPlus	4.30899
15	TcpTahoe	4.21888
15	TcpReno	4.21069
15	TcpNewReno	4.29261
15	TcpWestwood	4.28442
15	TcpWestwoodPlus	4.27622
16	TcpTahoe	4.21888
16	TcpReno	4.29261
16	TcpNewReno	4.29261
16	TcpWestwood	4.14515
16	TcpWestwoodPlus	4.26803
17	TcpTahoe	4.22707
17	TcpReno	4.21888
17	TcpNewReno	4.21888
17	TcpWestwood	4.28442
17	TcpWestwoodPlus	4.31718
18	TcpTahoe	4.13696
18	TcpReno	4.24346
18	TcpNewReno	4.31718
18	TcpWestwood	4.27622
18	TcpWestwoodPlus	4.22707
19	TcpTahoe	4.25165
19	TcpReno	4.17792
19	TcpNewReno	4.23526
19	TcpWestwood	4.18611
19	TcpWestwoodPlus	4.16973
20	TcpTahoe	4.16973
20	TcpReno	4.24346
20	TcpNewReno	4.07142
20	TcpWestwood	4.16973
20	TcpWestwoodPlus	4.16154
21	TcpTahoe	4.07962
21	TcpReno	4.096
21	TcpNewReno	4.11238
21	TcpWestwood	4.00589
21	TcpWestwoodPlus	4.096
22	TcpTahoe	4.12058
22	TcpReno	4.08781
22	TcpNewReno	4.07142
22	TcpWestwood	4.16973
22	TcpWestwoodPlus	4.03866
23	TcpTahoe	4.096
23	TcpReno	4.05504
23	TcpNewReno	4.04685
23	TcpWestwood	4.06323
23	TcpWestwoodPlus	4.00589
24	TcpTahoe	4.05504
24	TcpReno	4.01408
24	TcpNewReno	4.02227
24	TcpWestwood	4.08781
24	TcpWestwoodPlus	3.97312
25	TcpTahoe	4.02227
25	TcpReno	3.90758
25	TcpNewReno	4.00589
25	TcpWestwood	3.97312
25	TcpWestwoodPlus	3.98131
26	TcpTahoe	3.95674
26	TcpReno	3.94035
26	TcpNewReno	4.06323
26	TcpWestwood	3.97312
26	TcpWestwoodPlus	3.94035
27	TcpTahoe	3.92397
