nWifi	payloadSize	throughput
1	1024	4.12877
1	1524	5.1816
1	2024	6.00723
1	2524	5.048
1	3024	5.61254
1	3524	5.92032
1	4024	6.30963
1	4524	5.75453
1	5024	6.0288
1	5524	6.23107
1	6024	6.40954
1	6524	6.68058
1	7024	6.12493
1	7524	6.38035
1	8024	6.48339
1	8524	6.61462
1	9024	6.78605
1	9524	6.40013
1	10024	6.49555
2	1024	4.24346
2	1524	5.20598
2	2024	5.95866
2	2524	5.22973
2	3024	5.80608
2	3524	5.94851
2	4024	6.50278
2	4524	5.82691
2	5024	6.31014
2	5524	6.36365
2	6024	6.6505
2	6524	6.73277
2	7024	6.57446
2	7524	6.32016
2	8024	6.86854
2	8524	6.95558
2	9024	7.2192
2	9524	6.47632
2	10024	6.49555
3	1024	4.4073
3	1524	5.52298
3	2024	5.95866
3	2524	5.02781
3	3024	5.66093
3	3524	6.03309
3	4024	6.4384
3	4524	5.82691
3	5024	6.18957
3	5524	6.36365
3	6024	6.55411
3	6524	6.62838
3	7024	6.2935
3	7524	6.38035
3	8024	6.61178
3	8524	6.61462
3	9024	6.85824
3	9524	6.32394
3	10024	6.49555
4	1024	4.53018
4	1524	5.54736
4	2024	6.00723
4	2524	5.39126
4	3024	5.58835
4	3524	6.03309
4	4024	6.27744
4	4524	5.68214
4	5024	5.78765
4	5524	6.23107
4	6024	6.36134
4	6524	6.524
4	7024	6.2935
4	7524	6.38035
4	8024	6.61178
4	8524	6.61462
4	9024	6.71386
4	9524	6.40013
4	10024	6.57574
5	1024	4.45645
5	1524	5.49859
5	2024	6.02342
5	2524	4.88646
5	3024	5.29805
5	3524	5.83574
5	4024	6.24525
5	4524	5.82691
5	5024	5.98861
5	5524	6.14269
5	6024	6.07219
5	6524	6.36742
5	7024	5.95635
5	7524	6.07939
5	8024	6.29082
5	8524	6.54643
5	9024	6.56947
5	9524	6.24774
5	10024	6.33517
6	1024	4.44006
6	1524	5.52298
6	2024	5.95866
6	2524	5.18934
6	3024	5.56416
6	3524	5.75117
6	4024	6.14867
6	4524	5.32022
6	5024	5.82784
6	5524	6.0543
6	6024	6.31315
6	6524	6.36742
6	7024	5.90016
6	7524	5.95901
6	8024	6.03405
6	8524	6.47824
6	9024	6.2807
6	9524	5.94298
6	10024	6.09459
7	1024	4.46464
7	1524	5.3401
7	2024	6.10438
7	2524	5.12877
7	3024	5.46739
7	3524	5.69478
7	4024	6.0521
7	4524	5.68214
7	5024	5.62688
7	5524	6.0543
7	6024	6.31315
7	6524	6.31523
7	7024	5.84397
7	7524	5.77843
7	8024	5.96986
7	8524	6.47824
7	9024	6.2807
7	9524	5.94298
7	10024	6.33517
8	1024	4.35814
8	1524	5.43763
8	2024	6.072
8	2524	4.98742
8	3024	5.51578
8	3524	5.94851
8	4024	5.92333
8	4524	5.21165
8	5024	5.66707
8	5524	6.14269
8	6024	6.16858
8	6524	6.15866
8	7024	5.73158
8	7524	5.83862
8	8024	5.77728
8	8524	6.13728
8	9024	6.49728
8	9524	5.7144
8	10024	5.85402
9	1024	4.37453
9	1524	5.31571
9	2024	5.91008
9	2524	4.98742
9	3024	5.37062
9	3524	5.92032
9	4024	6.24525
9	4524	5.53738
9	5024	5.38573
9	5524	5.61238
9	6024	5.73485
9	6524	6.00208
9	7024	5.6192
9	7524	5.65805
9	8024	6.09824
9	8524	6.0009
9	9024	6.13632
9	9524	5.79059
9	10024	5.93421
10	1024	4.32538
10	1524	5.09626
10	2024	5.95866
10	2524	5.12877
10	3024	5.37062
10	3524	5.75117
10	4024	6.08429
10	4524	5.17546
10	5024	5.74746
10	5524	6.0543
10	6024	5.83123
10	6524	6.31523
10	7024	5.67539
10	7524	5.47747
10	8024	5.84147
10	8524	5.86451
10	9024	6.20851
10	9524	5.7144
10	10024	5.77382
11	1024	4.37453
11	1524	5.19379
11	2024	5.99104
11	2524	4.96723
11	3024	5.51578
11	3524	5.80755
11	4024	6.0199
11	4524	5.46499
11	5024	5.82784
11	5524	5.61238
11	6024	5.97581
11	6524	6.10646
11	7024	5.78778
11	7524	5.83862
11	8024	6.09824
11	8524	6.06909
11	9024	5.99194
11	9524	5.40963
11	10024	5.77382
12	1024	4.32538
12	1524	5.26694
12	2024	5.94246
12	2524	5.00762
12	3024	5.49158
12	3524	5.6384
12	4024	5.85894
12	4524	5.24784
12	5024	5.30534
12	5524	5.61238
12	6024	5.87942
12	6524	5.74112
12	7024	5.84397
12	7524	5.35709
12	8024	5.6489
12	8524	6.20547
12	9024	5.70317
12	9524	5.25725
12	10024	5.61344
13	1024	4.3991
13	1524	5.24256
13	2024	6.00723
13	2524	4.90666
13	3024	5.34643
13	3524	5.66659
13	4024	6.14867
13	4524	5.4288
13	5024	5.42592
13	5524	5.74496
13	6024	5.92762
13	6524	5.8455
13	7024	5.45062
13	7524	5.53766
13	8024	5.77728
13	8524	5.59174
13	9024	5.84755
13	9524	5.63821
13	10024	5.37286
14	1024	4.32538
14	1524	5.20598
14	2024	5.81293
14	2524	4.82589
14	3024	5.20128
14	3524	5.69478
14	4024	5.98771
14	4524	5.21165
14	5024	5.22496
