nWifi	payloadSize	throughput
1	1024	3.35053
1	1524	4.34035
1	2024	5.10048
1	2524	4.5432
1	3024	5.05613
1	3524	4.9336
1	4024	5.31168
1	4524	4.9945
1	5024	5.26515
1	5524	5.17046
1	6024	5.3975
1	6524	5.68893
1	7024	5.28205
1	7524	5.59786
1	8024	5.45632
1	8524	5.52355
1	9024	5.77536
1	9524	5.48582
1	10024	5.45306
2	1024	3.41606
2	1524	4.55981
2	2024	5.2624
2	2524	4.7855
2	3024	5.34643
2	3524	5.21552
2	4024	5.47264
2	4524	5.17546
2	5024	5.5063
2	5524	5.34723
2	6024	5.63846
2	6524	5.8455
2	7024	5.6192
2	7524	5.71824
2	8024	5.6489
2	8524	5.86451
2	9024	5.99194
2	9524	5.63821
2	10024	5.77382
3	1024	3.55533
3	1524	4.70611
3	2024	5.24621
3	2524	4.7855
3	3024	5.24966
3	3524	5.15914
3	4024	5.47264
3	4524	5.24784
3	5024	5.5063
3	5524	5.34723
3	6024	5.68666
3	6524	5.8455
3	7024	5.50682
3	7524	5.65805
3	8024	5.6489
3	8524	5.79632
3	9024	5.99194
3	9524	5.79059
3	10024	5.69363
4	1024	3.66182
4	1524	4.70611
4	2024	5.44051
4	2524	4.84608
4	3024	5.27386
4	3524	5.15914
4	4024	5.56922
4	4524	5.10307
4	5024	5.42592
4	5524	5.39142
4	6024	5.59027
4	6524	5.79331
4	7024	5.6192
4	7524	5.65805
4	8024	5.71309
4	8524	5.79632
4	9024	5.70317
4	9524	5.7144
4	10024	5.61344
5	1024	3.60448
5	1524	4.68173
5	2024	5.35955
5	2524	4.88646
5	3024	5.10451
5	3524	5.18733
5	4024	5.50483
5	4524	5.21165
5	5024	5.38573
5	5524	5.39142
5	6024	5.4457
5	6524	5.79331
5	7024	5.45062
5	7524	5.59786
5	8024	5.5847
5	8524	5.79632
5	9024	5.84755
5	9524	5.48582
5	10024	5.45306
6	1024	3.5881
6	1524	4.62077
6	2024	5.37574
6	2524	4.76531
6	3024	5.17709
6	3524	5.21552
6	4024	5.53702
6	4524	4.9583
6	5024	5.42592
6	5524	5.34723
6	6024	5.49389
6	6524	5.68893
6	7024	5.50682
6	7524	5.59786
6	8024	5.52051
6	8524	5.59174
6	9024	5.84755
6	9524	5.56202
6	10024	5.45306
7	1024	3.63725
7	1524	4.60858
7	2024	5.37574
7	2524	4.7855
7	3024	5.32224
7	3524	5.15914
7	4024	5.40826
7	4524	5.10307
7	5024	5.38573
7	5524	5.25885
7	6024	5.59027
7	6524	5.74112
7	7024	5.39443
7	7524	5.41728
7	8024	5.45632
7	8524	5.59174
7	9024	5.77536
7	9524	5.48582
7	10024	5.45306
8	1024	3.53894
8	1524	4.572
8	2024	5.27859
8	2524	4.8057
8	3024	5.20128
8	3524	5.13094
8	4024	5.44045
8	4524	4.9583
8	5024	5.18477
8	5524	5.25885
8	6024	5.49389
8	6524	5.68893
8	7024	5.33824
8	7524	5.35709
8	8024	5.32794
8	8524	5.59174
8	9024	5.70317
8	9524	5.33344
8	10024	5.29267
9	1024	3.51437
9	1524	4.54762
9	2024	5.21382
9	2524	4.74512
9	3024	5.22547
9	3524	5.07456
9	4024	5.44045
9	4524	5.10307
9	5024	5.18477
9	5524	5.30304
9	6024	5.34931
9	6524	5.58454
